name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency
Crucial CT25664AA1067 2 GB,,"2,1066","1,2",,Green,13.133,7
Corsair XMS2 1 GB,,"2,800","1,1",,Black / Purple,12.5,5
PNY XLR8 4 GB,,"2,1066","2,2",,Black,9.381,5
G.Skill F2-8500CL5D-4GBPI 4 GB,,"2,1066","2,2",,,9.381,5
G.Skill F2-6400CL6Q-16GBMQ 16 GB,,"2,800","4,4",,Orange / White,15,6
Corsair XMS2 DHX 4 GB,,"2,800","2,2",,Black / White,10,4
Crucial CT2CP6464AA667 1 GB,,"2,667","2,512",,Green,14.993,5
Wintec Value 8 GB,,"2,800","2,4",,Green,15,6
Kingston ValueRAM 2 GB,38.82,"2,667","2,1",19.41,Green,14.993,5
G.Skill F2-6400CL5D-4GBNT 4 GB,,"2,800","2,2",,Blue / Black,12.5,5
OCZ Fatal1ty Edition 4 GB,119.96,"2,800","2,2",29.99,Black,12.5,5
ADATA AD2U800B1G5-RHS 1 GB,,"2,800","1,1",,Blue / Silver,12.5,5
Patriot Signature 2 GB,,"2,800","1,2",,Blue / Silver,15,6
Corsair XMS2 2 GB,,"2,800","1,2",,Black,12.5,5
Kingston ValueRAM 2 GB,19.25,"2,800","1,2",9.625,Green,12.5,5
VisionTek Adrenaline 4 GB,131.99,"2,800","1,4",,Green,15,6
Kingston ValueRAM 1 GB,30.36,"2,800","1,1",30.36,Green,12.5,5
Corsair XMS2 4 GB,105,"2,800","2,2",26.25,Black / White,12.5,5
Corsair VS2GB800D2 2 GB,,"2,800","1,2",,Green,12.5,5
Crucial Ballistix 2 GB,,"2,800","1,2",,Yellow,10,4
Corsair XMS2 2 GB,29.95,"2,800","2,1",14.975,Black / White,12.5,5
Kingston ValueRAM 1 GB,,"2,800","1,1",,Green,15,6
Patriot Extreme Performance 4 GB,93.17,"2,800","2,2",23.293,Black / Green,12.5,5
Kingston Value 1 GB,22.99,"2,400","1,1",22.99,Green,15,3
Corsair XMS2 2 GB,74.95,"2,800","2,1",37.475,Black / Purple,10,4
Corsair XMS2 2 GB,94.9,"2,800","2,1",47.45,Black / Purple,10,4
Corsair XMS2 4 GB,50.77,"2,800","2,2",12.693,Black / Blue,12.5,5
Crucial CT25664AA800 2 GB,,"2,800","1,2",,Green,15,6
Crucial CT2KIT12864AA800 2 GB,24.99,"2,800","2,1",12.495,Green,15,6
Kingston ValueRAM 2 GB,17.39,"2,667","1,2",8.695,Green,14.993,5
TEAMGROUP Elite 4 GB,,"2,667","2,2",,,14.993,5
Kingston KVR400D2D4R3/4G 4 GB,28.99,"2,400","1,4",7.247,Green,15,3
Crucial Ballistix Tracer 1 GB,,"2,800","1,1",,Black,10,4
Corsair VS1GB667D2 1 GB,,"2,667","1,1",,Green,14.993,5
Kingston HyperX 4 GB,,"2,800","2,2",,Blue / White,12.5,5
Kingston HyperX 2 GB,,"2,800","2,1",,Blue / White,10,4
Crucial Ballistix Tracer 4 GB,,"2,800","2,2",,Black,10,4
Kingston ValueRAM 1 GB,24.95,"2,533","1,1",24.95,Green,15.009,4
Kingston ValueRAM 1 GB,23.4,"2,533","1,1",23.4,Green,15.009,4
Patriot Extreme Performance 2 GB,,"2,800","2,1",,Black / Silver,10,4
Patriot Extreme Performance 4 GB,,"2,800","2,2",,Black / Silver,12.5,5
Patriot Signature 1 GB,,"2,667","1,1",,Green,14.993,5
Patriot PSD21G8002 1 GB,,"2,800","1,1",,Green,12.5,5
OCZ Value 1 GB,34.95,"2,667","1,1",34.95,Green,14.993,5
OCZ Platinum Revision 2 2 GB,,"2,800","2,1",,Black / Silver,10,4
Crucial Ballistix 4 GB,,"2,800","2,2",,Black / Silver,12.5,5
Crucial Ballistix 2 GB,,"2,800","1,2",,Orange / White,12.5,5
Crucial CT25672AA667 2 GB,,"2,667","1,2",,Green,14.993,5
Corsair VS1GB533D2 1 GB,,"2,533","1,1",,Green,15.009,4
Crucial Ballistix 1 GB,,"2,800","1,1",,Yellow,10,4
Crucial Ballistix 2 GB,,"2,800","2,1",,Yellow,10,4
Crucial CT12864AA667 1 GB,19,"2,667","1,1",19,Green,14.993,5
Crucial CT2CP25672AA667 4 GB,,"2,667","2,2",,Green,14.993,5
Crucial CT2KIT51272AF667 8 GB,58.99,"2,667","2,4",7.374,Green,14.993,5
OCZ Gold 2 GB,,"2,800","2,1",,Black / Yellow,12.5,5
Crucial CT12864AC53E 1 GB,,"2,533","1,1",,Green,15.009,4
G.Skill F2-5300CL4D-4GBSQ 4 GB,,"2,667","2,2",,Green,11.994,4
Kingston ValueRAM 1 GB,40.77,"2,533","1,1",40.77,Green,15.009,4
Kingston KVR800D2S6/2G 2 GB,11.74,"2,800","1,2",5.87,Green,15,6
Mushkin Essentials 8 GB,,"2,667","2,4",,Green,14.993,5
Samsung MV-2S1G4 1 GB,,"2,800","1,1",,Black,15,6
Mushkin Silverline 4 GB,,"2,800","2,2",,Silver,12.5,5
Mushkin Silverline 4 GB,,"2,800","2,2",,Gray / Silver,12.5,5
Mushkin 991556 2 GB,19.98,"2,667","1,2",9.99,Green,14.993,5
Wintec Value 2 GB,,"2,800","2,1",,Green,15,6
Mushkin Silverline 8 GB,,"2,667","2,4",,Gray / Silver,14.993,5
TEAMGROUP TEDD2048M800HC5 2 GB,,"2,800","1,2",,,12.5,5
Mushkin 976504A 2 GB,,"2,667","2,1",,Black / Green,14.993,5
Kingston ValueRAM 2 GB,,"2,400","1,2",,Green,15,3
Patriot Signature 1 GB,,"2,800","1,1",,Black / Green,15,6
Corsair XMS2 2 GB,,"2,800","2,1",,Black / White,10,4
Corsair VS2GBKIT533D2 2 GB,,"2,533","2,1",,Green,15.009,4
Corsair VS2GBKIT667D2 2 GB,,"2,667","2,1",,Green,14.993,5
Corsair VS4GBKIT667D2 4 GB,,"2,667","2,2",,Green,14.993,5
Crucial CT12864AC800 1 GB,,"2,800","1,1",,Green,15,6
Crucial CT25672AB667S 2 GB,,"2,667","1,2",,Green,14.993,5
Crucial CT2CP12872AA667 2 GB,,"2,667","1,2",,Green,14.993,5
Crucial CT2CP25672AF667 4 GB,23.99,"2,667","2,2",5.997,Green,14.993,5
Crucial CT2KIT25664AA667 4 GB,48.99,"2,667","2,2",12.248,Green,14.993,5
Crucial CT2KiT51272AB667 8 GB,,"2,667","2,4",,Green,14.993,5
Crucial CT2KIT12872AF66 2 GB,,"2,667","2,1",,Green,14.993,5
Kingston ValueRAM 1 GB,,"2,533","1,1",,Green,15.009,4
Kingston ValueRAM 2 GB,,"2,533","2,1",,Green,15.009,4
Kingston ValueRAM 2 GB,32.39,"2,533","1,2",16.195,Green,15.009,4
Kingston ValueRAM 4 GB,,"2,667","2,2",,Green,14.993,5
Kingston ValueRAM 2 GB,,"2,800","2,1",,Green,15,6
Patriot PSD22G6672 2 GB,,"2,667","1,2",,Green,14.993,5
Patriot Viper 4 GB,,"2,800","2,2",,Black / Silver,10,4
OCZ Titanium XTC 4 GB,,"2,800","2,2",,Black / Silver,10,4
OCZ OCZ2V6672G 2 GB,35.96,"2,667","1,2",17.98,Green,14.993,5
Crucial Ballistix Sport 4 GB,,"2,800","2,2",,Black / Silver,12.5,5
Crucial Ballistix Sport 2 GB,,"2,800","1,2",,Black / Silver,12.5,5
ADATA AD2S800B2G5-R 2 GB,16.45,"2,800","1,2",8.225,Green,12.5,5
Corsair VS4GSDSKIT667D2 4 GB,,"2,667","2,2",,Green,14.993,5
Corsair VS1GSDS533D2 1 GB,19.98,"2,533","1,1",19.98,Green,15.009,4
Corsair VS2GSDS667D2 2 GB,,"2,667","1,2",,Green,14.993,5
Crucial CT51264AC667 4 GB,79.48,"2,667","1,4",19.87,Green,14.993,5
Crucial CT2KIT12864AC800 2 GB,38.99,"2,800","2,1",19.495,Green,15,6
Crucial CT2KIT12864AC667 2 GB,,"2,667","2,1",,Green,14.993,5
Crucial CT51264AC800 4 GB,64.89,"2,800","1,4",16.223,Green,15,6
Crucial CT2KIT51264AC800 8 GB,,"2,800","2,4",,Green,15,6
Crucial CT25664AC667 2 GB,19.94,"2,667","1,2",9.97,Green,14.993,5
Crucial CT2KIT25664AC800 4 GB,37.28,"2,800","2,2",9.32,Green,15,6
Crucial CT2KIT6464AC667 1 GB,,"2,667","2,512",,Green,14.993,5
Crucial CT2KIT12864AC53E 2 GB,,"2,533","2,1",,Green,15.009,4
Crucial CT25664AC53E 2 GB,,"2,533","1,2",,Green,15.009,4
Crucial CT2KIT25664AC667 4 GB,34.99,"2,667","2,2",8.748,Green,14.993,5
Crucial CT12864AC667 1 GB,,"2,667","1,1",,Green,14.993,5
Crucial CT25664AC800 2 GB,18.98,"2,800","1,2",9.49,Green,15,6
G.Skill F2-6400CL5S-2GBSK 2 GB,,"2,800","1,2",,Black / Silver,12.5,5
G.Skill F2-6400CL6S-4GBSQ 4 GB,,"2,800","1,4",,Green,15,6
G.Skill F2-6400CL6D-8GBSQ 8 GB,,"2,800","2,4",,Green,15,6
G.Skill F2-5300CL5S-2GBSK 2 GB,,"2,667","1,2",,Black / Silver,14.993,5
G.Skill F2-4200PHU1-1GBSA 1 GB,,"2,533","1,1",,Green,15.009,4
G.Skill F2-5300CL5S-2GBSQ 2 GB,,"2,667","1,2",,Green,14.993,5
G.Skill F2-5300CL4S-2GBSQ 2 GB,,"2,667","1,2",,Green,11.994,4
G.Skill F2-4200CL4S-2GBSK 2 GB,,"2,533","1,2",,Black / Silver,15.009,4
G.Skill F2-4200CL4S-2GBSQ 2 GB,,"2,533","1,2",,Green,15.009,4
G.Skill F2-5300PHU2-2GBSA 2 GB,,"2,667","2,1",,Green,14.993,5
G.Skill F2-4200PHU2-2GBSA 2 GB,,"2,533","2,1",,Green,15.009,4
G.Skill F2-6400CL5D-2GBSA 2 GB,,"2,800","2,1",,Green,12.5,5
G.Skill F2-5300CL5S-4GBSQ 4 GB,,"2,667","1,4",,Green,14.993,5
G.Skill F2-6400CL5S-1GBSA 1 GB,,"2,800","1,1",,Green,12.5,5
G.Skill F2-5300CL5D-4GBSA 4 GB,,"2,667","2,2",,Green,14.993,5
G.Skill F2-5300CL4S-1GBSA 1 GB,,"2,667","1,1",,Green,11.994,4
G.Skill F2-5300PHU1-1GBSA 1 GB,,"2,667","1,1",,Green,14.993,5
G.Skill F2-6400CL5D-4GBSQ 4 GB,,"2,800","2,2",,Green,12.5,5
G.Skill F2-6400CL5S-2GBSQ 2 GB,,"2,800","1,2",,Green,12.5,5
G.Skill F2-5300CL4D-2GBSA 2 GB,,"2,667","2,1",,Green,11.994,4
G.Skill F2-5300CL5D-8GBSQ 8 GB,,"2,667","2,4",,Green,14.993,5
GeIL GX2S5300-2GB 2 GB,,"2,667","1,2",,Green,14.993,5
GeIL GX2S6400-2GB 2 GB,,"2,800","1,2",,Green,12.5,5
Kingston KVR533D2S4K2/2G 2 GB,,"2,533","2,1",,Green,15.009,4
Kingston KHX4200S2LL/2G 2 GB,,"2,533","1,2",,Blue / White,11.257,3
Kingston KVR667D2SO/2GR 2 GB,22.4,"2,667","1,2",11.2,Green,14.993,5
Kingston KVR800D2SO/2GR 2 GB,,"2,800","1,2",,Green,15,6
Kingston KVR800D2S5/2G 2 GB,,"2,800","1,2",,Green,12.5,5
Kingston KVR667D2S5/1G 1 GB,52.44,"2,667","1,1",52.44,Green,14.993,5
Kingston ValueRAM 2 GB,24.99,"2,667","2,1",12.495,Green,14.993,5
Kingston KVR800D2SO/1GR 1 GB,,"2,800","1,1",,Green,12.5,5
Kingston KVR667D2S5/2G 2 GB,40.56,"2,667","1,2",20.28,Green,14.993,5
Kingston KVR800D2S6K2/2G 2 GB,,"2,800","2,1",,Green,15,6
Kingston KHX6400S2ULK2/4G 4 GB,,"2,800","2,2",,Blue / White,10,4
Kingston KVR667D2SO/1GR 1 GB,,"2,667","1,1",,Green,14.993,5
Kingston KVR800D2S5/1G 1 GB,35.08,"2,800","1,1",35.08,Green,12.5,5
Kingston KVR800D2S6K2/4G 4 GB,64.99,"2,800","2,2",,Green,15,6
Kingston KHX6400S2LLK2/4G 4 GB,,"2,800","2,2",,Blue / White,12.5,5
Kingston ValueRAM 4 GB,,"2,667","2,2",,Green,14.993,5
Kingston ValueRAM 4 GB,,"2,667","2,2",,Green,14.993,5
Kingston KVR533D2K2SO/2GR 2 GB,,"2,533","2,1",,Green,15.009,4
Kingston KVR800D2S5K2/4G 4 GB,,"2,800","2,2",,Green,12.5,5
Kingston KVR533D2S4/2G 2 GB,,"2,533","1,2",,Green,15.009,4
Kingston KVR800D2S6/1G 1 GB,18,"2,800","1,1",18,Green,15,6
Kingston ValueRAM 2 GB,,"2,667","2,1",,Green,14.993,5
Kingston KHX5300S2LLK2/4G 4 GB,,"2,667","2,2",,Blue / White,11.994,4
Kingston KVR533D2SO/1GR 1 GB,20,"2,533","1,1",20,Green,15.009,4
Kingston KHX5300S2LLK2/2G 2 GB,44.99,"2,667","2,1",22.495,Blue / Silver,11.994,4
Patriot Signature 8 GB,,"2,800","2,4",,Green,15,6
Mushkin Essentials 4 GB,30.59,"2,667","2,2",7.647,Green,14.993,5
Mushkin 991395 1 GB,,"2,533","1,1",,Green,15.009,4
Mushkin Essentials 4 GB,,"2,667","1,4",,Green,14.993,5
Mushkin Essentials 2 GB,,"2,800","1,2",,Green,12.5,5
Patriot Signature 4 GB,,"2,800","1,4",,Green,15,6
Samsung MV-2S2G4/US 2 GB,,"2,800","1,2",,Black,15,6
Mushkin Essentials 1 GB,,"2,667","1,1",,Green,14.993,5
Mushkin Essentials 2 GB,18.79,"2,667","1,2",9.395,Green,14.993,5
Mushkin Essentials 2 GB,,"2,667","2,1",,Green,14.993,5
Wintec AMPO 1 GB,,"2,667","1,1",,Green,14.993,5
Mushkin Essentials 4 GB,,"2,800","2,2",,Green,12.5,5
Mushkin Essentials 2 GB,,"2,667","1,2",,Green,11.994,4
Patriot PSD22G8002S 2 GB,29.72,"2,800","1,2",14.86,Green,15,6
Mushkin Essentials 4 GB,,"2,667","2,2",,Green,11.994,4
Patriot PSD22G6672S 2 GB,42.49,"2,667","1,2",21.245,Blue,14.993,5
Patriot PSD24G667SK 4 GB,,"2,667","2,2",,Blue,14.993,5
Mushkin Essentials 2 GB,,"2,667","2,1",,Green,11.994,4
G.Skill F2-5300CL5D-4GBSK 4 GB,,"2,667","2,2",,Black / Silver,14.993,5
Crucial CT2KIT51264AC667 8 GB,,"2,667","2,4",,Green,14.993,5
G.Skill F2-6400CL5S-1GBSK 1 GB,,"2,800","1,1",,Blue / Silver,12.5,5
Wintec AMPO 2 GB,,"2,800","1,2",,Green,15,6
Wintec AMPO 2 GB,,"2,667","1,2",,Green,14.993,5
Wintec AMPO 4 GB,,"2,800","2,2",,Green,12.5,5
Samsung MV-2V1G4D/US 2 GB,36.5,"2,800","2,1",,Black,15,6
Samsung MV-2V2G4D/US 4 GB,,"2,800","2,2",,Black,15,6
Mushkin Silverline 2 GB,,"2,800","1,2",,Gray / Silver,12.5,5
Mushkin 991555 2 GB,,"2,667","1,2",,Silver,14.993,5
Mushkin 991741 4 GB,,"2,800","1,4",,Green,15,6
ADATA Supreme 2 GB,,"2,800","1,2",,Green,15,6
Wintec Value 4 GB,,"2,800","2,2",,Green,15,6
Wintec Value 2 GB,,"2,800","1,2",,Green,15,6
Wintec Value 4 GB,,"2,800","1,4",,Green,15,6
ADATA Premier 4 GB,,"2,800","1,4",,Green,15,6
Wintec Value 4 GB,,"2,800","2,2",,Green,15,6
Wintec Value 2 GB,,"2,667","1,2",,Green,14.993,5
Wintec Value 2 GB,,"2,800","1,2",,Green,12.5,5
Mushkin Essentials 8 GB,,"2,800","2,4",,Green,15,6
TEAMGROUP Elite 2 GB,,"2,667","1,2",,,14.993,5
TEAMGROUP Elite 2 GB,,"2,667","1,2",,,14.993,5
TEAMGROUP Elite 4 GB,,"2,667","2,2",,,14.993,5
TEAMGROUP Elite 4 GB,,"2,800","2,2",,,12.5,5
TEAMGROUP Elite 4 GB,,"2,800","2,2",,Black / Silver,12.5,5
VisionTek 900616 4 GB,,"2,800","1,4",,Blue,15,6
OCZ OCZ2M8004GK 4 GB,29.05,"2,800","2,2",7.263,Green,12.5,5
Mushkin 976539A 4 GB,,"2,667","2,2",,Black / Green,14.993,5
Mushkin 976605 8 GB,,"2,667","2,4",,Blue / Silver,14.993,5
VisionTek 900471 4 GB,,"2,800","2,2",,Black / Green,12.5,5
Crucial CT12872AA80E 1 GB,,"2,800","1,1",,Black / Green,12.5,5
Crucial CT2KIT51272AF80E 8 GB,,"2,800","2,4",,Silver,12.5,5
Kingston KVR400D2S4R3K2/4G 4 GB,,"2,400","2,2",,Green,15,3
Kingston KVR667D2D4F5/4G 4 GB,,"2,667","1,4",,Black / Silver,14.993,5
Kingston KVR667D2D4F5/8G 8 GB,,"2,667","1,8",,Black / Silver,14.993,5
Kingston KVR667D2D4F5/8GI 8 GB,,"2,667","1,8",,Black / Silver,14.993,5
Mushkin 996580 4 GB,,"2,800","2,2",,Black,10,4
