name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency
Kingston KHX8500D2K2/4GR 4 GB,,"2,1066","2,2",,Blue,9.381,5
Crucial Ballistix 1 GB,,"2,1066","1,1",,Green,9.381,5
Crucial CT25664AA667 2 GB,11,"2,667","1,2",5.5,Green,14.993,5
Corsair XMS2 4 GB,,"2,1066","2,2",,Black / Purple,13.133,7
Mushkin Silverline 8 GB,123.14,"2,800","2,4",15.393,Gray / Silver,15,6
Kingston ValueRAM 4 GB,32.29,"2,800","2,2",8.072,Green,15,6
Patriot Viper 4 GB,,"2,1066","2,2",,Black / Silver,9.381,5
Crucial CT2KIT25664AA1067 4 GB,,"2,1066","2,2",,Green,13.133,7
Kingston ValueRAM 2 GB,17.23,"2,800","1,2",8.615,Green,15,6
G.Skill F2-6400CL5Q-16GBPQ 16 GB,,"2,800","4,4",,Blue / Silver,12.5,5
Kingston ValueRAM 1 GB,12.42,"2,667","1,1",12.42,Green,14.993,5
OCZ Platinum 4 GB,,"2,1066","2,2",,Black / Silver,9.381,5
Kingston ValueRAM 1 GB,11.95,"2,667","1,1",11.95,Green,14.993,5
Kingston HyperX 1 GB,,"2,1066","1,1",,Blue / White,9.381,5
Corsair Dominator 4 GB,,"2,1066","2,2",,Black / Blue,9.381,5
Corsair XMS2 4 GB,,"2,1066","2,2",,Black / Purple,9.381,5
Crucial CT6464AC667 0.5 GB,,"2,667","1,512",,Green,14.993,5
Corsair Dominator 2 GB,,"2,1066","2,1",,Black / Blue,9.381,5
Kingston HyperX 2 GB,,"2,1066","2,1",,Blue / White,9.381,5
G.Skill F2-9600CL5D-4GBPI 4 GB,,"2,1200","2,2",,,8.333,5
OCZ Reaper HPC 4 GB,,"2,1066","2,2",,Black / Silver,9.381,5
Kingston ValueRAM 2 GB,13.49,"2,667","1,2",6.745,Green,14.993,5
Crucial CT2KIT25664AA800 4 GB,31.49,"2,800","2,2",7.872,Green,15,6
Corsair Dominator 4 GB,,"2,1066","2,2",,Black / Blue,9.381,5
Corsair Dominator 4 GB,,"2,1066","2,2",,Black / Blue,9.381,5
